"Language","glotto","Source"
"Avar","avar1256","IDS"
"Erzya Mordvin","erzy1239","IDS"
"Estonian","esto1258","IDS"
"Finnish","finn1318","IDS"
"Hungarian","hung1274","IDS"
"Khanty","khan1273","IDS"
"Komi","komi1268","IDS"
"Northern Saami","nort2671","IDS"
"Mansi","mans1258","IDS"
"Mari","east2328","IDS"
"Nenets","nene1249","IDS"
"Selkup","selk1253","IDS"
"Udmurt","udmu1245","IDS"
"Tsez (Mokok dialect) ","dido1241","IDS"
"Lezgian (Quba dialect)","quba1246","IDS"
"Panare","enap1235","IDS"
"Macushi","macu1259","IDS"
"De'kwana","maqu1238","IDS"
"Wai Wai","waiw1244","IDS"
"Spanish","stan1288","IDS"
"Breton","bret1244","IDS"
"Yiddish","east2295","IDS"
"Bulgarian","bulg1262","IDS"
"Serbo-Croatian","sout1528","IDS"
"Russian","russ1263","IDS"
"Albanian (Tosk variety)","tosk1239","IDS"
"Armenian (Eastern variety)","east2283","IDS"
"Armenian (Western variety)","west2348","IDS"
"Tocharian A","tokh1242","IDS"
"Tocharian B","tokh1243","IDS"
"Romani","vlax1238","IDS"
"Persian","west2369","IDS"
"Negerhollands","nege1244","IDS"
"Basque","basq1248","IDS"
"Polci","polc1243","IDS"
"Nahuatl (Sierra de Zacapoaxtla variety)","high1278","IDS"
"Chatino (Zacatepec variety)","zaca1242","IDS"
"Karok","karo1304","IDS"
"Seri","seri1257","IDS"
"Zuni","zuni1245","IDS"
"Northern Haida","nort2938","IDS"
"Tsimshian","nucl1649","IDS"
"Nuu-chah-nulth","nuuc1236","IDS"
"Hawaiian","hawa1245","IDS"
"Maori","maor1246","IDS"
"Rapa Nui","rapa1244","IDS"
"Rotuman","rotu1241","IDS"
"Tuamotuan","tuam1242","IDS"
"Barí","bari1297","IDS"
"Muisca","chib1270","IDS"
"Páez","paez1247","IDS"
"Cayapa","chac1249","IDS"
"Colorado","colo1256","IDS"
"Embera","nort2972","IDS"
"Epena","epen1239","IDS"
"Puinave","puin1248","IDS"
"Yuwana","yuwa1244","IDS"
"Yaruro","pume1238","IDS"
"Ninam (Shirishana variety)","nina1238","IDS"
"Yanomámi","yano1262","IDS"
"Cofán","cofa1242","IDS"
"Waorani","waor1240","IDS"
"Siona","sion1247","IDS"
"Tuyuca","tuyu1244","IDS"
"Aguaruna","agua1253","IDS"
"Avar (Batlukh dialect)","batl1238","IDS"
"Yagua","yagu1244","IDS"
"Goajiro","wayu1243","IDS"
"Ignaciano","igna1246","IDS"
"Mashco Piro","mash1270","IDS"
"Trinitario","trin1274","IDS"
"Wapishana","wapi1253","IDS"
"Waurá","waur1244","IDS"
"Yavitero","yavi1244","IDS"
"Aymara","cent2142","IDS"
"Avar (Hid dialect)","hidd1238","IDS"
"Chipaya","chip1262","IDS"
"Mosetén","mose1249","IDS"
"Araona","arao1248","IDS"
"Cavineña","cavi1250","IDS"
"Ese Ejja","esee1248","IDS"
"Tacana","taca1256","IDS"
"Catuquina","pano1254","IDS"
"Chácobo","chac1251","IDS"
"Avar (Andalal dialect)","anda1281","IDS"
"Shipibo-Conibo","ship1254","IDS"
"Yaminahua","yami1256","IDS"
"Cayuvava","cayu1262","IDS"
"Itonama","iton1250","IDS"
"Movima","movi1243","IDS"
"Aché","ache1246","IDS"
"Chiriguano","east2555","IDS"
"Avar (Antsukh dialect)","ancu1238","IDS"
"Guaraní","para1311","IDS"
"Sirionó","siri1273","IDS"
"Wayampi","waya1270","IDS"
"Kaingáng","kain1272","IDS"
"Trumai","trum1247","IDS"
"Ayoreo","ayor1240","IDS"
"Sanapaná (Angaité dialect)","anga1295","IDS"
"Sanapaná (Enlhet dialect)","sana1281","IDS"
"Avar (Zakataly dialect)","zaka1239","IDS"
"Lengua","leng1262","IDS"
"Mocoví","moco1246","IDS"
"Pilagá","pila1245","IDS"
"Chorote","iyoj1235","IDS"
"Maca","maca1260","IDS"
"Nivaclé","niva1238","IDS"
"Kunza","kunz1244","IDS"
"Avar (Karakh dialect)","kara1473","IDS"
"Tehuelche","tehu1242","IDS"
"Selknam","onaa1245","IDS"
"Gününa Küne","puel1244","IDS"
"Qawasqar","qawa1238","IDS"
"Toba","toba1269","IDS"
